[04-Aug-2021 11:56:36 America/New_York] PHP Notice:  Undefined variable: con in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[04-Aug-2021 11:56:36 America/New_York] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[04-Aug-2021 11:56:36 America/New_York] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 13
[05-Aug-2021 08:17:49 America/New_York] PHP Notice:  Undefined variable: con in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[05-Aug-2021 08:17:49 America/New_York] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[05-Aug-2021 08:17:49 America/New_York] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 13
[07-Aug-2021 17:43:00 America/New_York] PHP Notice:  Undefined variable: con in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[07-Aug-2021 17:43:00 America/New_York] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[07-Aug-2021 17:43:00 America/New_York] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 13
[10-Aug-2021 02:39:08 America/New_York] PHP Notice:  Undefined variable: con in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[10-Aug-2021 02:39:08 America/New_York] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[10-Aug-2021 02:39:08 America/New_York] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 13
[11-Aug-2021 15:50:58 America/New_York] PHP Notice:  Undefined variable: con in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[11-Aug-2021 15:50:58 America/New_York] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[11-Aug-2021 15:50:58 America/New_York] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 13
[12-Aug-2021 13:23:02 America/New_York] PHP Notice:  Undefined variable: con in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[12-Aug-2021 13:23:02 America/New_York] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 11
[12-Aug-2021 13:23:02 America/New_York] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in /home/seamrmii/mtctests.com/blocks/header.php on line 13
[12-Aug-2021 13:35:40 America/New_York] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting '-' or identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in /home/seamrmii/mtctests.com/test_modules.php on line 174
[12-Aug-2021 13:35:41 America/New_York] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting '-' or identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in /home/seamrmii/mtctests.com/test_modules.php on line 174
[12-Aug-2021 13:36:31 America/New_York] PHP Parse error:  syntax error, unexpected '+', expecting ']' in /home/seamrmii/mtctests.com/test_modules.php on line 174
[12-Aug-2021 13:37:41 America/New_York] PHP Parse error:  syntax error, unexpected '+', expecting ']' in /home/seamrmii/mtctests.com/test_modules.php on line 174
[12-Aug-2021 13:37:43 America/New_York] PHP Parse error:  syntax error, unexpected '+', expecting ']' in /home/seamrmii/mtctests.com/test_modules.php on line 174
[12-Aug-2021 13:37:44 America/New_York] PHP Parse error:  syntax error, unexpected '+', expecting ']' in /home/seamrmii/mtctests.com/test_modules.php on line 174
